"BehaviorSpace results (NetLogo 5.3.1)"
"B03A02.nlogo"
"experiment"
"11/09/2016 23:42:28:982 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3"
"world-size","20","20","20"
"bean-count","200","1681","5000"
"[reporter]","entropy","entropy","entropy"
"[final]","7.523856189774741","9.884061893812719","10.445865225342832"
"[min]","0","0","0"
"[max]","7.613856189774741","9.929288444406954","10.458377382705951"
"[mean]","7.3480209870543565","9.368427717073766","9.829491401297885"
"[steps]","500","500","500"

"[all run data]","entropy","entropy","entropy"
,"0","0","0"
,"2.6762088374576547","2.8221268371202237","2.680956690028686"
,"3.910142788270455","4.09439145205114","4.050561439808865"
,"4.602419129403835","4.671322220743842","4.702179011719584"
,"4.951174166789802","5.098856265651249","5.133278432981378"
,"5.168664427102385","5.398116907049974","5.439329138716236"
,"5.376865980815059","5.6406915509103115","5.697013984408613"
,"5.7200790507211465","5.830327832935063","5.9103988194767645"
,"5.7926456136310325","6.037798221378409","6.107395357928174"
,"5.792956264111549","6.207191726721068","6.259693405076713"
,"5.921063985608954","6.337134868988559","6.408885821975794"
,"6.098661130824518","6.447083056404734","6.5358302226815645"
,"6.1897398476806345","6.587023206055602","6.665737565976812"
,"6.319125082398567","6.685815950379726","6.774035430991609"
,"6.399240520330087","6.789694582529013","6.87240850792432"
,"6.359125082398567","6.863447910790998","6.986797621632098"
,"6.233549660967957","6.970181140558196","7.059883336584669"
,"6.40454749027319","7.028640002038319","7.140647685107467"
,"6.422400192558834","7.114499840543583","7.207316568319849"
,"6.569690752090841","7.194457715091021","7.292855060716307"
,"6.674093674697023","7.254474990615276","7.355572617297514"
,"6.7705147372727446","7.332356515141144","7.405537169597335"
,"6.548995924653753","7.401771501360124","7.468048489556119"
,"6.755612487316015","7.4420621193029595","7.530260851417646"
,"6.60715956495746","7.507019019470352","7.5979179106480395"
,"6.774788502134113","7.567120048620002","7.660541472536071"
,"6.808063612294379","7.629462585982128","7.706893865836154"
,"6.888063612294382","7.662644308999691","7.758098702792066"
,"6.786240972411379","7.687757165062805","7.807498178144926"
,"6.752337377155746","7.756767868445311","7.862990982661674"
,"6.911014064623297","7.775783554008851","7.903928705947835"
,"6.897239627112478","7.862748146403109","7.953066687409936"
,"6.958562939644931","7.9153894607311575","7.996338309287653"
,"6.9305147372727465","7.92466673892618","8.031471300156065"
,"6.923789847433015","7.963033342475343","8.073987204281174"
,"6.9436606896882","8.018271126305057","8.098985303153956"
,"6.914788502134112","8.034268734441739","8.141242272172395"
,"6.879386924826834","8.05312067549775","8.175933854303137"
,"6.8780636122943815","8.084078133027376","8.205844674587128"
,"6.987064957593283","8.141265501024174","8.24914985242868"
,"6.998063612294382","8.175980688170418","8.283142244462214"
,"6.9936606896882","8.187480298160342","8.318817789820693"
